Limb,Time,Value
RIGHT_ARM,1625011381704000000,2.0821982E7
RIGHT_ARM,1625011381737332968,2.083616E7
RIGHT_ARM,1625011381770665937,2.0848872E7
RIGHT_ARM,1625011381803998906,2.0858286E7
RIGHT_ARM,1625011381837331875,2.0864374E7
RIGHT_ARM,1625011381870664843,2.0879774E7
RIGHT_ARM,1625011381903997812,2.0912304E7
RIGHT_ARM,1625011381937330781,2.0939104E7
RIGHT_ARM,1625011381970663750,2.0945178E7
RIGHT_ARM,1625011382003996718,2.0958008E7
RIGHT_ARM,1625011382037329687,2.0975568E7
RIGHT_ARM,1625011382070662656,2.1002118E7
RIGHT_ARM,1625011382103995625,2.1003968E7
RIGHT_ARM,1625011382137328593,2.095895E7
RIGHT_ARM,1625011382170661562,2.091912E7
RIGHT_ARM,1625011382203994531,2.0888522E7
RIGHT_ARM,1625011382237327500,2.0868248E7
RIGHT_ARM,1625011382270660468,2.0853754E7
RIGHT_ARM,1625011382303993437,2.08393E7
RIGHT_ARM,1625011382337326406,2.082873E7
RIGHT_ARM,1625011382370659375,2.0834922E7
RIGHT_ARM,1625011382403992343,2.0836264E7
RIGHT_ARM,1625011382437325312,2.0834686E7
RIGHT_ARM,1625011382470658281,2.083922E7
RIGHT_ARM,1625011382503991250,2.084877E7
RIGHT_ARM,1625011382537324218,2.0862968E7
RIGHT_ARM,1625011382570657187,2.088369E7
RIGHT_ARM,1625011382603990156,2.0897504E7
RIGHT_ARM,1625011382637323125,2.0915216E7
RIGHT_ARM,1625011382670656093,2.0931656E7
RIGHT_ARM,1625011382703989062,2.0954594E7
RIGHT_ARM,1625011382737322031,2.0964418E7
RIGHT_ARM,1625011382770655000,2.0972094E7
RIGHT_ARM,1625011382803987968,2.0975126E7
RIGHT_ARM,1625011382837320937,2.0980262E7
RIGHT_ARM,1625011382870653906,2.0998598E7
RIGHT_ARM,1625011382903986875,2.102767E7
RIGHT_ARM,1625011382937319843,2.104913E7
RIGHT_ARM,1625011382970652812,2.107155E7
RIGHT_ARM,1625011383003985781,2.105317E7
RIGHT_ARM,1625011383037318750,2.1010842E7
RIGHT_ARM,1625011383070651718,2.0980202E7
