Limb,Time,Value
LEFT_ARM,1625021211567000000,1.4259913E7
LEFT_ARM,1625021211600332969,1.4209393E7
LEFT_ARM,1625021211633665938,1.4158433E7
LEFT_ARM,1625021211666998906,1.4114689E7
LEFT_ARM,1625021211700331875,1.4078335E7
LEFT_ARM,1625021211733664844,1.4042219E7
LEFT_ARM,1625021211766997813,1.4012443E7
LEFT_ARM,1625021211800330781,1.3992847E7
LEFT_ARM,1625021211833663750,1.3981136E7
LEFT_ARM,1625021211866996719,1.3971463E7
LEFT_ARM,1625021211900329688,1.3957512E7
LEFT_ARM,1625021211933662656,1.3946331E7
LEFT_ARM,1625021211966995625,1.3937472E7
LEFT_ARM,1625021212000328594,1.3936451E7
LEFT_ARM,1625021212033661563,1.3931395E7
LEFT_ARM,1625021212066994531,1.3932965E7
LEFT_ARM,1625021212100327500,1.3937669E7
LEFT_ARM,1625021212133660469,1.3943092E7
LEFT_ARM,1625021212166993438,1.3947024E7
LEFT_ARM,1625021212200326406,1.3952043E7
LEFT_ARM,1625021212233659375,1.3960723E7
LEFT_ARM,1625021212266992344,1.3967123E7
LEFT_ARM,1625021212300325313,1.3968687E7
LEFT_ARM,1625021212333658281,1.3977148E7
LEFT_ARM,1625021212366991250,1.398918E7
LEFT_ARM,1625021212400324219,1.3996169E7
LEFT_ARM,1625021212433657188,1.4005392E7
LEFT_ARM,1625021212466990156,1.4014164E7
LEFT_ARM,1625021212500323125,1.4020709E7
LEFT_ARM,1625021212533656094,1.4028579E7
LEFT_ARM,1625021212566989063,1.4040171E7
LEFT_ARM,1625021212600322031,1.4055279E7
LEFT_ARM,1625021212633655000,1.4059152E7
LEFT_ARM,1625021212666987969,1.4049931E7
LEFT_ARM,1625021212700320938,1.400264E7
LEFT_ARM,1625021212733653906,1.3943039E7
LEFT_ARM,1625021212766986875,1.3884587E7
LEFT_ARM,1625021212800319844,1.3834292E7
LEFT_ARM,1625021212833652813,1.3796759E7
LEFT_ARM,1625021212866985781,1.3757177E7
LEFT_ARM,1625021212900318750,1.3727509E7
LEFT_ARM,1625021212933651719,1.37063E7
LEFT_ARM,1625021212966984688,1.3697364E7
LEFT_ARM,1625021213000317656,1.3687736E7
LEFT_ARM,1625021213033650625,1.3675581E7
LEFT_ARM,1625021213066983594,1.3667112E7
LEFT_ARM,1625021213100316563,1.3662667E7
LEFT_ARM,1625021213133649531,1.3661073E7
LEFT_ARM,1625021213166982500,1.3661984E7
LEFT_ARM,1625021213200315469,1.3668283E7
LEFT_ARM,1625021213233648438,1.3674225E7
LEFT_ARM,1625021213266981406,1.3683653E7
LEFT_ARM,1625021213300314375,1.3685575E7
LEFT_ARM,1625021213333647344,1.3693075E7
LEFT_ARM,1625021213366980313,1.3702671E7
LEFT_ARM,1625021213400313281,1.3707795E7
LEFT_ARM,1625021213433646250,1.3716239E7
LEFT_ARM,1625021213466979219,1.3723053E7
LEFT_ARM,1625021213500312188,1.3731896E7
LEFT_ARM,1625021213533645156,1.3741165E7
LEFT_ARM,1625021213566978125,1.3751193E7
LEFT_ARM,1625021213600311094,1.3758768E7
LEFT_ARM,1625021213633644063,1.3771151E7
LEFT_ARM,1625021213666977031,1.3783943E7
LEFT_ARM,1625021213700310000,1.3793455E7
LEFT_ARM,1625021213733642969,1.3806499E7
LEFT_ARM,1625021213766975938,1.380736E7
LEFT_ARM,1625021213800308906,1.3778296E7
LEFT_ARM,1625021213833641875,1.3725228E7
LEFT_ARM,1625021213866974844,1.3673051E7
LEFT_ARM,1625021213900307813,1.3629908E7
LEFT_ARM,1625021213933640781,1.3597577E7
LEFT_ARM,1625021213966973750,1.3575252E7
LEFT_ARM,1625021214000306719,1.3554991E7
LEFT_ARM,1625021214033639688,1.3544419E7
LEFT_ARM,1625021214066972656,1.3544071E7
LEFT_ARM,1625021214100305625,1.3545461E7
LEFT_ARM,1625021214133638594,1.3542277E7
LEFT_ARM,1625021214166971563,1.3540797E7
LEFT_ARM,1625021214200304531,1.3535955E7
LEFT_ARM,1625021214233637500,1.3543973E7
LEFT_ARM,1625021214266970469,1.3551692E7
LEFT_ARM,1625021214300303438,1.3563711E7
LEFT_ARM,1625021214333636406,1.3576577E7
LEFT_ARM,1625021214366969375,1.3590979E7
LEFT_ARM,1625021214400302344,1.3605299E7
LEFT_ARM,1625021214433635313,1.3619141E7
LEFT_ARM,1625021214466968281,1.3633764E7
LEFT_ARM,1625021214500301250,1.3647895E7
LEFT_ARM,1625021214533634219,1.3661052E7
LEFT_ARM,1625021214566967188,1.3679712E7
LEFT_ARM,1625021214600300156,1.3694984E7
LEFT_ARM,1625021214633633125,1.371114E7
LEFT_ARM,1625021214666966094,1.3727997E7
LEFT_ARM,1625021214700299063,1.3744835E7
LEFT_ARM,1625021214733632031,1.3762131E7
LEFT_ARM,1625021214766965000,1.3778899E7
LEFT_ARM,1625021214800297969,1.3793395E7
LEFT_ARM,1625021214833630938,1.3808012E7
LEFT_ARM,1625021214866963906,1.3805135E7
LEFT_ARM,1625021214900296875,1.3763536E7
LEFT_ARM,1625021214933629844,1.3714024E7
LEFT_ARM,1625021214966962813,1.3671525E7
LEFT_ARM,1625021215000295781,1.3641572E7
LEFT_ARM,1625021215033628750,1.3612675E7
LEFT_ARM,1625021215066961719,1.3587651E7
LEFT_ARM,1625021215100294688,1.356944E7
LEFT_ARM,1625021215133627656,1.3555664E7
LEFT_ARM,1625021215166960625,1.3557065E7
LEFT_ARM,1625021215200293594,1.3559688E7
LEFT_ARM,1625021215233626563,1.3556004E7
LEFT_ARM,1625021215266959531,1.3557684E7
LEFT_ARM,1625021215300292500,1.3561E7
LEFT_ARM,1625021215333625469,1.3570148E7
LEFT_ARM,1625021215366958438,1.3575169E7
LEFT_ARM,1625021215400291406,1.3588211E7
LEFT_ARM,1625021215433624375,1.3601364E7
LEFT_ARM,1625021215466957344,1.3619048E7
LEFT_ARM,1625021215500290313,1.3630132E7
LEFT_ARM,1625021215533623281,1.3639595E7
LEFT_ARM,1625021215566956250,1.3655976E7
LEFT_ARM,1625021215600289219,1.3671428E7
LEFT_ARM,1625021215633622188,1.3689453E7
LEFT_ARM,1625021215666955156,1.3703705E7
LEFT_ARM,1625021215700288125,1.3718575E7
LEFT_ARM,1625021215733621094,1.3736153E7
LEFT_ARM,1625021215766954063,1.3752372E7
LEFT_ARM,1625021215800287031,1.3766693E7
LEFT_ARM,1625021215833620000,1.3782107E7
LEFT_ARM,1625021215866952969,1.3797884E7
LEFT_ARM,1625021215900285938,1.3820059E7
LEFT_ARM,1625021215933618906,1.3832345E7
LEFT_ARM,1625021215966951875,1.3831592E7
LEFT_ARM,1625021216000284844,1.3795903E7
LEFT_ARM,1625021216033617813,1.3753323E7
LEFT_ARM,1625021216066950781,1.3711969E7
LEFT_ARM,1625021216100283750,1.3685007E7
LEFT_ARM,1625021216133616719,1.3657269E7
LEFT_ARM,1625021216166949688,1.3636819E7
LEFT_ARM,1625021216200282656,1.3616137E7
LEFT_ARM,1625021216233615625,1.3608175E7
LEFT_ARM,1625021216266948594,1.3610304E7
LEFT_ARM,1625021216300281563,1.3611544E7
LEFT_ARM,1625021216333614531,1.3610564E7
LEFT_ARM,1625021216366947500,1.3613276E7
LEFT_ARM,1625021216400280469,1.3618411E7
LEFT_ARM,1625021216433613438,1.3624088E7
LEFT_ARM,1625021216466946406,1.3634392E7
LEFT_ARM,1625021216500279375,1.3643273E7
LEFT_ARM,1625021216533612344,1.3656275E7
LEFT_ARM,1625021216566945313,1.3669944E7
LEFT_ARM,1625021216600278281,1.3687411E7
LEFT_ARM,1625021216633611250,1.3700124E7
LEFT_ARM,1625021216666944219,1.3713193E7
LEFT_ARM,1625021216700277188,1.3728508E7
LEFT_ARM,1625021216733610156,1.3744288E7
LEFT_ARM,1625021216766943125,1.3759239E7
LEFT_ARM,1625021216800276094,1.3773023E7
LEFT_ARM,1625021216833609063,1.3788788E7
LEFT_ARM,1625021216866942031,1.3802952E7
LEFT_ARM,1625021216900275000,1.3819397E7
LEFT_ARM,1625021216933607969,1.3840475E7
LEFT_ARM,1625021216966940938,1.3859959E7
LEFT_ARM,1625021217000273906,1.387634E7
LEFT_ARM,1625021217033606875,1.3883459E7
LEFT_ARM,1625021217066939844,1.3864516E7
LEFT_ARM,1625021217100272813,1.3821493E7
LEFT_ARM,1625021217133605781,1.3778244E7
LEFT_ARM,1625021217166938750,1.3744667E7
LEFT_ARM,1625021217200271719,1.3716739E7
LEFT_ARM,1625021217233604688,1.3693427E7
LEFT_ARM,1625021217266937656,1.3674309E7
LEFT_ARM,1625021217300270625,1.3663612E7
LEFT_ARM,1625021217333603594,1.3666413E7
LEFT_ARM,1625021217366936563,1.3670099E7
LEFT_ARM,1625021217400269531,1.367374E7
LEFT_ARM,1625021217433602500,1.3674929E7
LEFT_ARM,1625021217466935469,1.3684299E7
LEFT_ARM,1625021217500268438,1.3693228E7
LEFT_ARM,1625021217533601406,1.3701945E7
LEFT_ARM,1625021217566934375,1.3717689E7
LEFT_ARM,1625021217600267344,1.3733216E7
LEFT_ARM,1625021217633600313,1.3750544E7
LEFT_ARM,1625021217666933281,1.3769468E7
LEFT_ARM,1625021217700266250,1.3784635E7
LEFT_ARM,1625021217733599219,1.3802835E7
LEFT_ARM,1625021217766932188,1.381928E7
LEFT_ARM,1625021217800265156,1.3837799E7
LEFT_ARM,1625021217833598125,1.3854151E7
LEFT_ARM,1625021217866931094,1.3872468E7
LEFT_ARM,1625021217900264063,1.3885965E7
LEFT_ARM,1625021217933597031,1.3907283E7
LEFT_ARM,1625021217966930000,1.3929381E7
LEFT_ARM,1625021218000262969,1.3947245E7
LEFT_ARM,1625021218033595938,1.3971223E7
LEFT_ARM,1625021218066928906,1.39816E7
LEFT_ARM,1625021218100261875,1.3970445E7
LEFT_ARM,1625021218133594844,1.3935423E7
LEFT_ARM,1625021218166927813,1.3887017E7
LEFT_ARM,1625021218200260781,1.3845208E7
LEFT_ARM,1625021218233593750,1.3812621E7
LEFT_ARM,1625021218266926719,1.3784577E7
LEFT_ARM,1625021218300259688,1.3761257E7
LEFT_ARM,1625021218333592656,1.3742192E7
LEFT_ARM,1625021218366925625,1.3738061E7
